chapter_id,chapter_title,chapter_order,chapter_rules_type,article_id,article_title,article_n,rule_id,rule_n,rule_title,rule_text,sort_index_rule,is_placeholder
Chapter1_beach,Facilities and Equipment,1,beach,Article1_beach,Playing area,1,Rule1_beach,1,Playing Area,The playing area includes the playing court and the free zone. It shall be rectangular and symmetrical.,1,false
Chapter1_beach,Facilities and Equipment,1,beach,Article1_beach,Playing area,1,Rule1_1_1_beach,1.1.1,Dimensions,"The playing court is a rectangle measuring 16 x 8 m, surrounded by a free zone, which is a minimum of 3 m wide on all sides.",1.11,false
Chapter1_beach,Facilities and Equipment,1,beach,Article1_beach,Playing area,1,Rule1_1_2_beach,1.1.2,Dimensions,"For FIVB, World and Official Competitions, the free zone is a minimum of 5 m and a maximum of 6 m from the end lines/side lines. The free playing space shall measure a minimum of 12.5 m in height from the playing surface.",1.12,false
Chapter1_beach,Facilities and Equipment,1,beach,Article1_beach,Playing area,1,Rule1_2_1_beach,1.2.1,Playing Surface,"The surface must be composed of levelled sand, as flat and uniform as possible, free of rocks, shells and anything else which can represent risks of cuts or injuries to the players.",1.12,false
Chapter1_beach,Facilities and Equipment,1,beach,Article1_beach,Playing area,1,Rule1_2_beach,1.2,Playing Surface,"The surface must be composed of levelled sand, as flat and uniform as possible, free of rocks, shells and anything else which can represent risks of cuts or injuries to the players.",1.2,false
Chapter1_beach,Facilities and Equipment,1,beach,Article1_beach,Playing area,1,Rule1_2_2_beach,1.2.2,Playing Surface,"For FIVB, World and Official Competitions, the sand must be at least 40 cm deep and composed of fine loosely compacted grains.",1.22,false
Chapter1_beach,Facilities and Equipment,1,beach,Article1_beach,Playing area,1,Rule1_2_3_beach,1.2.3,Playing Surface,The playing surface must not present any danger of injury to the players.,1.23,false
Chapter1_beach,Facilities and Equipment,1,beach,Article1_beach,Playing area,1,Rule1_2_4_beach,1.2.4,Playing Surface,"For FIVB, World and Official Competitions, the sand should also be sifted to an acceptable size, not too coarse, and free of stones and dangerous particles. It should not be too fine to cause dust and stick to the skin.",1.24,false
Chapter1_beach,Facilities and Equipment,1,beach,Article1_beach,Playing area,1,Rule1_2_5_beach,1.2.5,Playing Surface,"For FIVB, World and Official Competitions, a tarp to cover the central court is recommended in case of rain.",1.25,false
Chapter1_beach,Facilities and Equipment,1,beach,Article1_beach,Playing area,1,Rule1_3_1_beach,1.3.1,Lines On The Court,All lines are 5 cm wide. The lines must be of a colour which contrasts sharply with the colour of the sand.,1.31,false
Chapter1_beach,Facilities and Equipment,1,beach,Article1_beach,Playing area,1,Rule1_3_2_beach,1.3.2,Lines On The Court,"Two side lines and two end lines mark the playing court. There is no centre line. Both side and end lines are placed inside the dimensions of the playing court. Court lines should be ribbons made of a resistant material, and any exposed anchors should be of a soft, flexible material.",1.32,false
Chapter1_beach,Facilities and Equipment,1,beach,Article1_beach,Playing area,1,Rule1_4_beach,1.4,Zones And Areas,"There is only the playing court, service zone and the free zone surrounding the playing court.",1.4,false
Chapter1_beach,Facilities and Equipment,1,beach,Article1_beach,Playing area,1,Rule1_4_1_beach,1.4.1,Zones And Areas,"The service zone is an 8 m wide area behind the end line, which extends to the edge of the free zone.",1.41,false
Chapter1_beach,Facilities and Equipment,1,beach,Article1_beach,Playing area,1,Rule1_5_beach,1.5,Weather,The weather must not present any danger of injury to the players.,1.5,false
Chapter1_beach,Facilities and Equipment,1,beach,Article1_beach,Playing area,1,Rule1_6_beach,1.6,Lighting,"For FIVB, World and Official Competitions, played at night, the lighting on the playing area should be 1,000 to 1,500 lux measured at 1 m above the surface of the playing area.",1.6,false
Chapter1_beach,Facilities and Equipment,1,beach,Article1_beach,Playing area,1,Rule11_beach,11,Player At The Net,Actions near the net involving players and the ball,11,false
Chapter1_beach,Facilities and Equipment,1,beach,Article1_beach,Playing area,1,Rule16_beach,16,Game Delays,Game Delays,16,false
Chapter1_beach,Facilities and Equipment,1,beach,Article1_beach,Playing area,1,Rule17_beach,17,Exceptional Game Substitutions,Exceptional Game Substitutions,17,false
Chapter1_beach,Facilities and Equipment,1,beach,Article2_beach,Net and posts,2,Rule2_1_1_beach,2.1.1,Height Of The Net,"Placed vertically over the middle of the court there is a net whose top is set at the height of 2.43 m for men and 2.24 m for women.

Note: The height of the net may be varied for specific age groups as follows: Age Groups: 16 years and under - 2.24 m (both females and males), 14 years and under - 2.12 m, 12 years and under - 2.00 m",2.11,false
Chapter1_beach,Facilities and Equipment,1,beach,Article2_beach,Net and posts,2,Rule2_1_2_beach,2.1.2,Height Of The Net,Its height is measured from the centre of the playing court with a measuring rod. The net height (over the two side lines) must be exactly the same and must not exceed the official height by more than 2 cm.,2.12,false
